Description_preprocessed,Potential_Accident_Level
while removing the drill rod for the jumbo 08 for maintenance the supervisor proceeds to loosen the support of the intermediate centralized to facilitate the removal seeing this the mechanic support one end on the drill of the equipment to pull with both hand the bar and accelerate the removal from this at this moment the bar slide from it point of support and tightens the finger of the mechanic between the middle bar and the beam of the jumbo,IV
during the activation of a sodium sulphide solution the piping wa uncoupled and the sulfide solution wa designed in the area to reach the maid immediately she made use of the emergency shower and wa directed to the ambulatory doctor and later to the hospital source of sulphide solution 48 gram liter,IV
in a substation milo located at level 170 when the collaborator wa doing the excavation work with a pick hand tool hitting a user with the flat part of the beak it bounce off hitting the steel tip of the safety shoe and then the metatarsal area of the left foot of the collaborator causing the injury,III
being approximately in the no 1880 cx695 ob the personnel begin the task of unlocking the soviet bolt of the bob machine when they were in the penultimate bolt they identified that the hexagonal head wa worn proceeding my cristobal auxiliary assistant to climb to the platform to exert power with your teeth on the dado key to prevent it from coming out of the bolt in those moment two collaborator rotate with the lever in anticlockwise direction leaving the key of the bolt hitting the palm of the left hand causing the injury,I
called at in circumstance that the mechanic anthony group leader eduardo and eric fernandezinjuredthe three of the company improve performed the removal of the pulley of the mechanism of the pump 3015 in the zap of marcy 27 am length 33 cm weight 70 keg a it wa locked proceed to heating the pulley to loosen it it come out and fall from a distance of 106 meter high and hit the instep of the right foot of the worker causing the injury described,IV
during the unloading operation into the ustulado bag there wa a procedure to unclog the discharge mouth of the silo truck in performing this procedure there wa a maneuver of unhooking the hose without the total depressurisation of the mouth projecting ustulado powder in the collaborator caused irritation in the eye,III
the collaborator report that he wa by street 09 holding in his left hand the volumetric balloon when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small fracture in his left hand,III
at approximately when the mechanic technician josh of the tecnomin verified the transmission belt of the hm100 prototype at the acid plant he proceeded to turn the pulley manually unexpectedly at that instant the electrician supervisor miguel of the era did grab the transmission belt to verify their tension at which point the finger trap,III
employee wa sitting in the resting area at level 326 raise bore when he suffered sudden illness falling room suffering exhortation on his face,IV
at the moment the forklift operator went to manipulate big bag of dioxide over section 70 and just in front of the ladder that lead to the area of manual displacement he splashed spent at the height of his forehead from a fissure in pipe i 069 subsequently spilling out his left eye the collaborator went to the nearby eyewash for cleaning and immediately to the medical center,II
while installing a segment of the polyurethane pulley protective loner 60x4x5cm weighing 12 keg on the head pulley of the ore winch when the pulley is rotated to compress one lyner inside the channel they fall from it housing 150 i rubbing the right side of the worker hip generating the injury described,III
while preparing the rice for the lunch of the day when moving the pot 60 35 keg of weight including the content to evacuate the residual water of the cooking of the rice when positioning the pot on a jab it tilt backwards spilling some 200 my of hot water on the cook leg the cook immediately after the event applies first aid pouring cold water inside the area of the injury and go to the medical post the evaluation,IV
the collaborator mentioned that she wa working in the ustulacion and realized that the cyclone duct wa obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel,I
in moment in the operator of the jumbo 2 tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of no 3300 remove the lock and opening the electric board of 440v and 400a and when lifting the thermomagnetic key this make phase to ground phase contact with the panel she will producing a flash which reach the operator about the injury described,V
due to the accumulation of well on the conveyor and trailer of the filter 08fi0502 the employee performed the cleaning of the shutter using the air lance when on wa surprised by the fall of the product that wa above the door passing between the neck and the collar of another afraid jacket and causing burn in the neck and shoulder,III
the employee wa missed in the when a thermal shock caused a splash of zinc in his direction the employee despite using all the indicated pie wa hit by small shock that passed between the facial and the hood small burn in the face region,IV
at up 050 of level 1620 in circumstance where the worker of the company was performing the task of diamond drilling the assistant jonathan injured and milton were preparing to increase the he perforation pipe located on the scaffolding my jhonatan lift one end of the tube and support it on the pulley of the equipment frame the other end being on the working scaffolding at the moment that mr nilton lift the end of the hq pipe that is in the scaffolding to position in the frame the upper part of the pipe come out of the pulley falling and striking the right hand of the worker jhonatan against bolt that ha the lateral part on the same frame causing the injury described,IV
due to the overheating of 2 guards at row 5 of cell 7 a spark is produced which is projected and manages to reach the chief of guard who wa in the corridor producing a first degree burn in the neck,II
an auxiliary wheel of the cathode crane g2133 wa changed in area 75 when when a bearing wa heated and hit with a hammer and chisel at one end of the bearing track a detachment of a bearing piece occurred impacting it in the thigh of the right leg producing a cut the ambulance is called and should get transferred to the clinic,II
the worker manuel wa making the disconnection of the power cable of the gate that is at the intersection of mango street with cajamarquilla in order to remove it in circumstance that my josh worker of the company it wa removing a rope tied in the body of the gate this yield and fall pulling another warning post which hit the helmet of mr who he wa standing at his side,III
at 1416 the operator samuel wa about to open the container for it subsequent loading with silver concentrate and opened the first gate afterwards he try to open the second door and it is when product of the will of the latter the first one open and impact loses the handle the safety lens and generates the injury in the left cheekbone of the face of the operator,II
in the raise chamber when the operator and assistant removed the drilling bar from the for drilling machine weight approx 500 keg holding it at the top with a 2 to stroke and assisted with jib to move horizontally the operator jib on the bottom slide by moving the top of the drill bar causing the assistant bar to enforce his assistant hand between from head and the piston of the equipment,IV
while aligning the right bracket outside tower i 32 when releasing the tension applied by the milford of 15 to when pushing the lever towards their tension release point it return by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hand of the assistant beating the assistant in the frontal region,IV
by loosening the a3029 truck steering cylinder bolt using power cable and socket with the force exerted in favor of the equipment the bolt suddenly retired and the pilot pressed his hand against the structure of the equipment causing injury,II
an operator of the g2142 deslaminadora in section 75 wa unlocking a sheet a zinc stuck so that it can enter the slide of the stacking table for this requires the support of any dollar and this help to hold the sheet to place it in the entry chute to the slide at the moment of releasing the blade it tilted and brushed mr collarless left leg the collaborator went to the nearby eyewash for cleaning and immediately to the medical center,II
the operator wa willing to manually displace the zinc sheet adhered to the aluminum cathode at the moment when the blade are detached the blade wa released from the cathode bending and grazing the collaborator right hand producing 2 small cut at the knuckle of the finger the worker made use of his own leather the worker is transferred to the medical unit for first aid,II
at the end of lunch in an enabled place on the side of the winch control room can get up and after a short walk he slip and sits with the floor and making contact with the left knee and not taking importance in the rest of her guard when the guard is finished he go to safety and communicates the fact for which reason it is derived nascar for your attention,I
at the end of the rock break at the intersection of the ramp 1055 and the corner of the access to the ventilation chimney the master loader identifies rock on the mesh proceeding to unload them at the end he decides to verify if there are still remains by positioning himself under the line of fire at which time a fragment of rock fall 5x4x3cm 180 go between the cicada mesh impacting between the lens and the helmet causing the failure,III
the master carried out his work at level 2940... 896 and placed metal mesh on the basket soil half of the scissor the mesh fall and hit the back of his right hand,IV
when using the griff wrench to unscrew the rod from the probe that key came on move by pressing the employee finger against the probe,III
when the plant operator wa semikneeling when lifting the lid or gate 15 keg of the distributor box of the secondary mill no 4 and no 5 his right knee slip due of the presence of debris spilled on the platform or floor grating which gave him an extra function in his left leg generating a muscle contractor,II
at level 1095 access 6 a at time when the engineer trainee planamieto entered to verify the amount of split set placed by the scissor 184 in the support holding his notebook and pen or his left hand while inspecting the roof of the work he lost the balance when stepping on a rock holding the right hand on a rock on his floor causing the injury the worker at the time of the accident wore glove but did not use them because it made it difficult to take note,II
the worker sarang while working with barretilla in apartment 996 level 3300 while unloading metal mesh on the basket of an ampoloader with his operator juan barretilla while embedded on safety boot reacting immediately the worker removing the limb with force and managing to release the foot but producing a wound on the right foot,IV
